"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Setup/Selections/Selections.jsx", "JavaScript JSX", 98, 0, 0, 11, 6, 115
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Box.jsx", "JavaScript JSX", 10, 0, 0, 0, 2, 12
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/CategoryList.js", "JavaScript", 0, 9, 0, 0, 2, 11
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Controls.jsx", "JavaScript JSX", 54, 0, 0, 5, 3, 62
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Divider.jsx", "JavaScript JSX", 11, 0, 0, 0, 3, 14
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/FillForm.js", "JavaScript", 0, 131, 0, 0, 33, 164
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Functions.js", "JavaScript", 0, 19, 0, 0, 5, 24
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/GaugeChartOne.jsx", "JavaScript JSX", 49, 0, 0, 5, 3, 57
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/LoadSpinner.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/NotoSans-Black-normal.js", "JavaScript", 0, 2, 0, 6, 1, 9
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Radial.jsx", "JavaScript JSX", 114, 0, 0, 6, 4, 124
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/Speedometer.jsx", "JavaScript JSX", 36, 0, 0, 2, 4, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/SpeedometerFive.jsx", "JavaScript JSX", 44, 0, 0, 6, 4, 54
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/SpeedometerFour.jsx", "JavaScript JSX", 42, 0, 0, 6, 4, 52
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/SpeedometerOne.jsx", "JavaScript JSX", 45, 0, 0, 6, 4, 55
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/SpeedometerThree.jsx", "JavaScript JSX", 42, 0, 0, 6, 4, 52
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/SpeedometerTwo.jsx", "JavaScript JSX", 45, 0, 0, 6, 4, 55
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/TextGenAI.jsx", "JavaScript JSX", 29, 0, 0, 7, 8, 44
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/createPDF.js", "JavaScript", 0, 206, 0, 98, 55, 359
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/components/Utils.jsx/useTimeout.js", "JavaScript", 0, 16, 0, 0, 1, 17
"Total", "-", 4242, 588, 445, 445, 408, 6128
